wavelength,n,k
7.852626803413676271e+02,1.558982149624039915e+00,2.638702638447886747e-06
7.989760387908341954e+02,1.558668103043173492e+00,2.774426117255019431e-06
8.129288791419260178e+02,1.558535241592011511e+00,2.953945299501932982e-06
8.271253835635419591e+02,1.558410938132593015e+00,3.146942077860893322e-06
8.415698072594806263e+02,1.558286644587194569e+00,3.352548350533521844e-06
8.562664797438787900e+02,1.558162360955025694e+00,3.571587962084464842e-06
8.712198061389217401e+02,1.558038087235295910e+00,3.804938583175584078e-06
8.864342684952174523e+02,1.557913823427214295e+00,4.053535227307902634e-06
9.019144271352295164e+02,1.557789569529990814e+00,4.318373997330789695e-06
9.176649220201691151e+02,1.557665325542834545e+00,4.600516076730330989e-06
9.336904741407585107e+02,1.557541091464955230e+00,4.901091981689478885e-06
9.499958869322824739e+02,1.557416867295562612e+00,5.221306090957680177e-06
9.665860477143505705e+02,1.557292653033866436e+00,5.562441471680805776e-06
9.834659291558037921e+02,1.557168448679076445e+00,5.925865020527737146e-06
1.000640590765200955e+03,1.557042465665672726e+00,6.317124609532126274e-06
1.018115180407336766e+03,1.556896802268669777e+00,6.782428909507999757e-06
1.035894935846242106e+03,1.556751152498671686e+00,7.282006412081370939e-06
1.053985186315131386e+03,1.556605516354403695e+00,7.818381599438075519e-06
1.072391354113764010e+03,1.556459893834591046e+00,8.394264901087926980e-06
1.091118956233703784e+03,1.556314284937958980e+00,9.012566390300147140e-06
1.110173606011961056e+03,1.556168689663233184e+00,9.676410489385489403e-06
1.129561014813511065e+03,1.556023108009139566e+00,1.038915175813439290e-05
1.149286993743194898e+03,1.555877539974403367e+00,1.115439184519358456e-05
1.169357455387518257e+03,1.555731985557750718e+00,1.197599768804061974e-05
1.189778415586866913e+03,1.555586444757907749e+00,1.285812105352530167e-05
1.210555995238669993e+03,1.555476320574275650e+00,1.379042506219104722e-05
1.231696422132052930e+03,1.555393600958793199e+00,1.477805983368311629e-05
1.253206032814531227e+03,1.555310885742307025e+00,1.583642646713451062e-05
1.275091274491301419e+03,1.555228174924583318e+00,1.697059059656373512e-05
1.297358706957702452e+03,1.555145468505388262e+00,1.818598064366785521e-05
1.320015004565419304e+03,1.555062766484487824e+00,1.948841379974302008e-05
1.343066958223028905e+03,1.554980068861648190e+00,2.088412386836315633e-05
1.366521477431480434e+03,1.554897375636635326e+00,2.237979110207963436e-05
1.390385592355121162e+03,1.554814686809215640e+00,2.398257417594887740e-05
1.414666455928888581e+03,1.554759997157111329e+00,2.576778902118164187e-05
1.439371346002304108e+03,1.554719217847373658e+00,2.772207253658275485e-05
1.464507667520907034e+03,1.554678439607223517e+00,2.982457303930199520e-05
1.490082954745782672e+03,1.554637662436632928e+00,3.208653161854502027e-05
1.516104873511852475e+03,1.554596886335573913e+00,3.452004191145271024e-05
1.542581223525599171e+03,1.554556111304018495e+00,3.713811476213674012e-05
1.569519940702922440e+03,1.554515337341938475e+00,3.995474778459193562e-05
1.596929099547817486e+03,1.554474564449305873e+00,4.298500020140780855e-05
1.624816915572594326e+03,1.554428549961098138e+00,4.638766109593932540e-05
1.653191747760362432e+03,1.554382326070173015e+00,5.006587027452083283e-05
1.682062101070521294e+03,1.554336103553803250e+00,5.403573508828115251e-05
1.711436628988001530e+03,1.554289882411948209e+00,5.832038173951139762e-05
1.741324136117025546e+03,1.554243662644566371e+00,6.294477017265500698e-05
1.771733580820165344e+03,1.554197444251617544e+00,6.793583947692359603e-05
1.802674077903487159e+03,1.554150338554887156e+00,7.334111774456842335e-05
1.834154901348586463e+03,1.554098667405896084e+00,7.927892026677101306e-05
1.866185487092333915e+03,1.554046997974825928e+00,8.569745583309570545e-05
1.898775435855165597e+03,1.553995330261619623e+00,9.263564528317090119e-05
1.931934516018766544e+03,1.553943664266220326e+00,1.001355605438568580e-04
1.965672666554005446e+03,1.553891999988570749e+00,1.082426797458069896e-04
2.000000000000000455e+03,1.553839895494729673e+00,1.169723624587612514e-04
