wavelength,n,k
1.741324136117025546e+03,1.637873279948356853e+00,1.437301109150032896e-01
1.771733580820165344e+03,1.638423562547909551e+00,1.442310025223330072e-01
1.802674077903487159e+03,1.638983664951634056e+00,1.447394886847511997e-01
1.834154901348586463e+03,1.639552983765865557e+00,1.452556201589056406e-01
1.866185487092333915e+03,1.640132909163143804e+00,1.457795766830040918e-01
1.898775435855165597e+03,1.640724543765297527e+00,1.463115200520030412e-01
1.931934516018766544e+03,1.641148188777232786e+00,1.467016919248830265e-01
1.965672666554005446e+03,1.641546054199684912e+00,1.470697537174548708e-01
2.000000000000000455e+03,1.641950852685873707e+00,1.474437303900620055e-01
2.034926805495212875e+03,1.642361765999369227e+00,1.478235475548303202e-01
2.070463551861476844e+03,1.642780082990033197e+00,1.482094822857197847e-01
2.106620890741874518e+03,1.643206931149773231e+00,1.486018012155990997e-01
2.143409659793422179e+03,1.643640874626351112e+00,1.489992071016617292e-01
2.180840885935505867e+03,1.644042239167969655e+00,1.493671239942650220e-01
2.218925788655044016e+03,1.644450090843856627e+00,1.497409390705089216e-01
2.257675783369378223e+03,1.644864753262974766e+00,1.501207740061612506e-01
2.297102484847876440e+03,1.645287461967405607e+00,1.505069415094880958e-01
2.337217710693302251e+03,1.645718822746402576e+00,1.508996502241143622e-01
2.378033484883978872e+03,1.646158441215399781e+00,1.512985852224485450e-01
2.419562041377802871e+03,1.646738724475307558e+00,1.517166116306063184e-01
2.461815827779205392e+03,1.647335692613449032e+00,1.521405477997219979e-01
2.504807509070146352e+03,1.647943956116952435e+00,1.525704923277274860e-01
2.548549971406267559e+03,1.648564179187741008e+00,1.530068674781820404e-01
2.593056325979336634e+03,1.649195389161960845e+00,1.534515819687931881e-01
2.638339912947144057e+03,1.649836468308173876e+00,1.539070169095273499e-01
2.684414305432024321e+03,1.650488676057565218e+00,1.543721968962182556e-01
2.731293313589221270e+03,1.651153482025259134e+00,1.548456550833341161e-01
2.778990988746275434e+03,1.651834164646623915e+00,1.553265981197264056e-01
2.827521627614721638e+03,1.652535557537906152e+00,1.558136390007401340e-01
2.876899776575326086e+03,1.653256552709064353e+00,1.563069188526778897e-01
2.927140236038159856e+03,1.653992817759468048e+00,1.568076964732095790e-01
2.978258064878819368e+03,1.654753700228457136e+00,1.573165385742228140e-01
3.030268584952106266e+03,1.655555458448140449e+00,1.578334187712314429e-01
3.083187385684544097e+03,1.656393053494663148e+00,1.583581768705552839e-01
3.137030328747094245e+03,1.657250719366640368e+00,1.588907579772469714e-01
3.191813552809462635e+03,1.658118118915587580e+00,1.594320660111508137e-01
3.247553478377443753e+03,1.658989867606881274e+00,1.599832330427822524e-01
3.304266812714740809e+03,1.659871092609323195e+00,1.605439659312704881e-01
3.361970554850728149e+03,1.660879380848788944e+00,1.611277103237683528e-01
3.420682000675681593e+03,1.662075762514409139e+00,1.617416919309961898e-01
3.480418748124970080e+03,1.663292696561390338e+00,1.623654324060885557e-01
3.541198702453796614e+03,1.664530843819650219e+00,1.629984027470582630e-01
3.603040081604050101e+03,1.665792899688108397e+00,1.636405560316201158e-01
