wavelength,n,k
5.530653266331657960e+02,1.575846977313480224e+00,3.858328513581606341e-03
5.551758793969848966e+02,1.575599454205744321e+00,3.872766358552966540e-03
5.572864321608039972e+02,1.575351362604368255e+00,3.882751611061106486e-03
5.593969849246230979e+02,1.575102274229611465e+00,3.888384354644813020e-03
5.615075376884421985e+02,1.574898403675814462e+00,3.889690289340508918e-03
5.636180904522612991e+02,1.574711342898216015e+00,3.886921044495698137e-03
5.657286432160803997e+02,1.574522023750927202e+00,3.880347591480205662e-03
5.678391959798995003e+02,1.574330047618191175e+00,3.870237285735318548e-03
5.699497487437186010e+02,1.574135032318735972e+00,3.856900128546741739e-03
5.720603015075377016e+02,1.573967455503363810e+00,3.840603327823022793e-03
5.741708542713568022e+02,1.573796891229195527e+00,3.821826364879132940e-03
5.762814070351759028e+02,1.573622278569122512e+00,3.801009151022060033e-03
5.783919597989950034e+02,1.573443341917447169e+00,3.778631372822496576e-03
5.805025125628139904e+02,1.573261849355407360e+00,3.755209096245425496e-03
5.826130653266332047e+02,1.573082018958866568e+00,3.731292947932049464e-03
5.847236180904521916e+02,1.572897286798173866e+00,3.707498055141206748e-03
5.868341708542714059e+02,1.572707562265649894e+00,3.684460877492919985e-03
5.889447236180903928e+02,1.572512816309058925e+00,3.662851954928872042e-03
5.910552763819094935e+02,1.572308876452089832e+00,3.643373700276781538e-03
5.931658291457285941e+02,1.572095858297193338e+00,3.626752973187310266e-03
5.952763819095476947e+02,1.571878173508987508e+00,3.613735389334331131e-03
5.973869346733667953e+02,1.571656113674034128e+00,3.605080397927697394e-03
5.994974874371858959e+02,1.571430070214157704e+00,3.601550578311866514e-03
6.016080402010049966e+02,1.571165238134992093e+00,3.603995698650294330e-03
6.037185929648240972e+02,1.570886499526721769e+00,3.613083338148765505e-03
6.058291457286431978e+02,1.570605618236821321e+00,3.629479495909737011e-03
6.079396984924622984e+02,1.570323448663613286e+00,3.653824453012420939e-03
6.100502512562813990e+02,1.570043275844269504e+00,3.686677136650230811e-03
6.121608040201004997e+02,1.569858481620610258e+00,3.728276931989978234e-03
6.142713567839196003e+02,1.569675695739853882e+00,3.779195688849956193e-03
6.163819095477387009e+02,1.569496236999362582e+00,3.839631255063827298e-03
6.184924623115578015e+02,1.569321513094827036e+00,3.909611476843798290e-03
6.206030150753769021e+02,1.569134341285567169e+00,3.989019629548717742e-03
6.227135678391960028e+02,1.568908250576130259e+00,4.077553885103083094e-03
6.248241206030149897e+02,1.568691415288668622e+00,4.174484927304242948e-03
6.269346733668342040e+02,1.568485337825157089e+00,4.278958097081049169e-03
6.290452261306531909e+02,1.568291453348682696e+00,4.389867577020359866e-03
6.311557788944724052e+02,1.568169918764023896e+00,4.505683455249883708e-03
6.332663316582913922e+02,1.568111663893235974e+00,4.624825488351311589e-03
6.353768844221104928e+02,1.568069046650383935e+00,4.745611954840846421e-03
6.374874371859295934e+02,1.568042779581508839e+00,4.866025947818788250e-03
6.395979899497486940e+02,1.568033287495899986e+00,4.983892066094543216e-03
6.417085427135677946e+02,1.567936675647445766e+00,5.097256593215552731e-03
6.438190954773868953e+02,1.567832245859360096e+00,5.203531397759468546e-03
6.459296482412059959e+02,1.567743864892992445e+00,5.300288840904416633e-03
6.480402010050250965e+02,1.567670558451212726e+00,5.385240389824148127e-03
6.501507537688441971e+02,1.567619862212145332e+00,5.456193724179742889e-03
6.522613065326632977e+02,1.567696545756462223e+00,5.510803341375468574e-03
6.543718592964823983e+02,1.567783270474561785e+00,5.547750307008440102e-03
6.564824120603014990e+02,1.567877781503880241e+00,5.565624918728521130e-03
6.585929648241205996e+02,1.567977613932016512e+00,5.563367604217761379e-03
6.607035175879397002e+02,1.568051402636116975e+00,5.540405651360895758e-03
6.628140703517588008e+02,1.568067719023680695e+00,5.496567941625732194e-03
6.649246231155777878e+02,1.568081377482756666e+00,5.431785556149396239e-03
6.670351758793970021e+02,1.568089742103644602e+00,5.346602594292055449e-03
6.691457286432159890e+02,1.568090308540857070e+00,5.241949349258053122e-03
6.712562814070352033e+02,1.568163365993166414e+00,5.118842722400570970e-03
6.733668341708541902e+02,1.568280397147226557e+00,4.978982679538863400e-03
6.754773869346734045e+02,1.568383463523322252e+00,4.824412408105315311e-03
6.775879396984923915e+02,1.568471127492558015e+00,4.657188256655413541e-03
6.796984924623116058e+02,1.568542298677042979e+00,4.479503671534217253e-03
6.818090452261305927e+02,1.568520584953520869e+00,4.293833248740937941e-03
6.839195979899496933e+02,1.568468659592772818e+00,4.102263915512170504e-03
6.860301507537687939e+02,1.568399082553115109e+00,3.906993351449706241e-03
6.881407035175878946e+02,1.568312115157001640e+00,3.710158652279417837e-03
6.902512562814069952e+02,1.568205546456982846e+00,3.513762883969817185e-03
6.923618090452260958e+02,1.568062548228922326e+00,3.319666562131104882e-03
6.944723618090451964e+02,1.567904462941882571e+00,3.129431625813084306e-03
6.965829145728642970e+02,1.567732425684155384e+00,2.944452741376926610e-03
