wavelength,n,k
5.265630931296037716e+02,1.571147716380129067e+00,9.170489222346427145e-07
5.326665450349961475e+02,1.570724986307663107e+00,9.360837037094920426e-07
5.388407427363761144e+02,1.570297356323486770e+00,9.582827535544478714e-07
5.450865062562054391e+02,1.569778702178795893e+00,9.839132565331985909e-07
5.514046651219165369e+02,1.569182228369280008e+00,1.011221889409268580e-06
5.577960584760876372e+02,1.568563793136314111e+00,1.038847059713682473e-06
5.642615351878940828e+02,1.567938189551159489e+00,1.066792436467299376e-06
5.708019539658475878e+02,1.567305334524641713e+00,1.095061731219004490e-06
5.774181834718466462e+02,1.566665144004490307e+00,1.123658698538662589e-06
5.841111024365490039e+02,1.566017532964175230e+00,1.152587136515787068e-06
5.908815997760756318e+02,1.565287370448644966e+00,1.181848497320383554e-06
5.977305747100763256e+02,1.564264829482763686e+00,1.204177307931740052e-06
6.046589368811553413e+02,1.563125792190967145e+00,1.223949781129314930e-06
6.116676064756865117e+02,1.561973552190094150e+00,1.243951439282665056e-06
6.187575143460271647e+02,1.560807956446062184e+00,1.264184938900331967e-06
6.259296021341501728e+02,1.559628850150953649e+00,1.284652967282749890e-06
6.331848223967037939e+02,1.558552868727842267e+00,1.305358242879147102e-06
6.405241387315300017e+02,1.558556861607746535e+00,1.326303515648609395e-06
6.479485259056392579e+02,1.558726991793815353e+00,1.370953214973934990e-06
6.554589699846761732e+02,1.558903889489450689e+00,1.432881059928417653e-06
6.630564684638845847e+02,1.559082837626128315e+00,1.498446457159046940e-06
6.707420304005853495e+02,1.559263859970740462e+00,1.564771830266971996e-06
6.785166765481982338e+02,1.559446980565663887e+00,1.631865988217883839e-06
6.863814394918085782e+02,1.559632223731953760e+00,1.699737842083167471e-06
6.943373637853115952e+02,1.559819614072572636e+00,1.768352545414556767e-06
7.023855060901454408e+02,1.560004519142374146e+00,1.837567689865568348e-06
7.105269353156273837e+02,1.560148029892894028e+00,1.907207450346817909e-06
7.187627327609249051e+02,1.560183065380371881e+00,1.977654413107051674e-06
7.270939922586635475e+02,1.560215333107471292e+00,2.048917934518466779e-06
7.355218203202063023e+02,1.560247974853416819e+00,2.121007479404026906e-06
7.440473362826129460e+02,1.560280994953502587e+00,2.193932622294515302e-06
7.526716724573066131e+02,1.560314397793274299e+00,2.267703048700192536e-06
7.613959742804563575e+02,1.560348187809110332e+00,2.350458715256213956e-06
7.702214004651136747e+02,1.560296952748819077e+00,2.449631212156286845e-06
7.791491231551003693e+02,1.559924624914819757e+00,2.550240672507723302e-06
7.881803280806891507e+02,1.559363479108387018e+00,2.652016308404864439e-06
7.973162147160876430e+02,1.558795828997937782e+00,2.754971637119349286e-06
8.065579964387404743e+02,1.558221599191354612e+00,2.859120332602996755e-06
8.159069006904894650e+02,1.557640713422641099e+00,2.964476227303969213e-06
8.253641691405903202e+02,1.557053094541792859e+00,3.082816426056800784e-06
8.349310578506272122e+02,1.556462939837657267e+00,3.215631843231174949e-06
8.446088374413342308e+02,1.556147949118309226e+00,3.355746935342465600e-06
8.543987932613554221e+02,1.556353431082923233e+00,3.497486117210681985e-06
8.643022255579520561e+02,1.556561294812049079e+00,3.640868213842435616e-06
8.743204496497003220e+02,1.556771567912986320e+00,3.785912268447146224e-06
8.844547961011795678e+02,1.556984278313034542e+00,3.932637544966179222e-06
8.947066108996923504e+02,1.557199454263200611e+00,4.087982290789990781e-06
9.050772556340333495e+02,1.557417124341952785e+00,4.273741855251178460e-06
9.155681076753227217e+02,1.557572252912168054e+00,4.472236089117774085e-06
9.261805603599470942e+02,1.557595816709845149e+00,4.673031091924916995e-06
9.369160231746091085e+02,1.557519363452124717e+00,4.876153532143583519e-06
9.477759219435305340e+02,1.557442024016113979e+00,5.089972220017339607e-06
9.587616990178212291e+02,1.557363788130021076e+00,5.336658596953558590e-06
9.698748134670468062e+02,1.557284645402992718e+00,5.595869091936985171e-06
9.811167412730086426e+02,1.557204585323733514e+00,5.858084124857336555e-06
9.924889755257826209e+02,1.557123597259110870e+00,6.123338521651067394e-06
1.003993026622016146e+03,1.557008987157101565e+00,6.391667511925897356e-06
1.015630422465533798e+03,1.556869985745372498e+00,6.663106733639887189e-06
1.027402708670267657e+03,1.556722304210287122e+00,6.937692237834733376e-06
