wavelength,n,k
5.530653266331657960e+02,1.572893977203052573e+00,1.053959096374094831e-03
5.551758793969848966e+02,1.572608724491598720e+00,1.068218470206398676e-03
5.572864321608039972e+02,1.572323801408904709e+00,1.081860943673750497e-03
5.593969849246230979e+02,1.572039141531813344e+00,1.094873476527817319e-03
5.615075376884421985e+02,1.571801407874462209e+00,1.107216241297235074e-03
5.636180904522612991e+02,1.571582486962104008e+00,1.118907897234226083e-03
5.657286432160803997e+02,1.571363609664160776e+00,1.129968691316146114e-03
5.678391959798995003e+02,1.571144697833043002e+00,1.140413939912530029e-03
5.699497487437186010e+02,1.570925671585155392e+00,1.150267746521019870e-03
5.720603015075377016e+02,1.570737353103980993e+00,1.159530654846612245e-03
5.741708542713568022e+02,1.570549511398455111e+00,1.168278508987234546e-03
5.762814070351759028e+02,1.570361312141503207e+00,1.176567119830047034e-03
5.783919597989950034e+02,1.570172676485635632e+00,1.184463326189433502e-03
5.805025125628139904e+02,1.569985538532439939e+00,1.192045026392147449e-03
5.826130653266332047e+02,1.569804248780777733e+00,1.199401530984087324e-03
5.847236180904521916e+02,1.569622310472594373e+00,1.206644319237630027e-03
5.868341708542714059e+02,1.569439666942315625e+00,1.213894436120948467e-03
5.889447236180903928e+02,1.569256272156792642e+00,1.221287648900032819e-03
5.910552763819094935e+02,1.569067872562557087e+00,1.228969360958951425e-03
5.931658291457285941e+02,1.568874451569596928e+00,1.237104670014097744e-03
5.952763819095476947e+02,1.568680232706086475e+00,1.245877542275199406e-03
5.973869346733667953e+02,1.568485241544108177e+00,1.255479290796595888e-03
5.994974874371858959e+02,1.568289530111669050e+00,1.266111825351047809e-03
6.016080402010049966e+02,1.568057806754459715e+00,1.278028256163888992e-03
6.037185929648240972e+02,1.567814507012502023e+00,1.291413777187785418e-03
6.058291457286431978e+02,1.567570838524387167e+00,1.306469260479009012e-03
6.079396984924622984e+02,1.567326994959716169e+00,1.323403488712051419e-03
6.100502512562813990e+02,1.567085524101591520e+00,1.342411038944675344e-03
6.121608040201004997e+02,1.566939161248386503e+00,1.363580632530619332e-03
6.142713567839196003e+02,1.566793465463358848e+00,1.387149361039786890e-03
6.163819095477387009e+02,1.566648804882139201e+00,1.413229102348399725e-03
6.184924623115578015e+02,1.566505587766392260e+00,1.441885145963247520e-03
6.206030150753769021e+02,1.566345565659654993e+00,1.473145270913097217e-03
6.227135678391960028e+02,1.566141172474958321e+00,1.506982772859412996e-03
6.248241206030149897e+02,1.565939628022980479e+00,1.543220943863191910e-03
6.269346733668342040e+02,1.565741429282450081e+00,1.581647342344175405e-03
6.290452261306531909e+02,1.565547066325691627e+00,1.621962299376005553e-03
6.311557788944724052e+02,1.565415943769221663e+00,1.663708613306592648e-03
6.332663316582913922e+02,1.565338237129921595e+00,1.706412950930235196e-03
6.353768844221104928e+02,1.565265628676815624e+00,1.749561697087083541e-03
6.374874371859295934e+02,1.565198413493255281e+00,1.792506788123122887e-03
6.395979899497486940e+02,1.565136794745973781e+00,1.834530641616640258e-03
6.417085427135677946e+02,1.564976673005598728e+00,1.874981950451020578e-03
6.438190954773868953e+02,1.564797710861154600e+00,1.912963834129661990e-03
6.459296482412059959e+02,1.564624273319272563e+00,1.947621658756176636e-03
6.480402010050250965e+02,1.564456073110097822e+00,1.978135530559349282e-03
6.501507537688441971e+02,1.564301578099062340e+00,2.003705682631043428e-03
6.522613065326632977e+02,1.564266918101361981e+00,2.023462039390545256e-03
6.543718592964823983e+02,1.564235829066411565e+00,2.036901294811763793e-03
6.564824120603014990e+02,1.564207525946999189e+00,2.043477676748044029e-03
6.585929648241205996e+02,1.564181135084168561e+00,2.042768490633204564e-03
6.607035175879397002e+02,1.564126891604290970e+00,2.034528571011037790e-03
6.628140703517588008e+02,1.564014996431958071e+00,2.018660893926212379e-03
6.649246231155777878e+02,1.563902110450108962e+00,1.995105911313901567e-03
6.670351758793970021e+02,1.563787255726363234e+00,1.964036866652034592e-03
6.691457286432159890e+02,1.563669496515023072e+00,1.925775861967347555e-03
6.712562814070352033e+02,1.563630804195352164e+00,1.880685646261051180e-03
6.733668341708541902e+02,1.563643882458059409e+00,1.829386708351663253e-03
6.754773869346734045e+02,1.563651729921160749e+00,1.772632933840457767e-03
6.775879396984923915e+02,1.563653801694011580e+00,1.711190311230711796e-03
6.796984924623116058e+02,1.563649684979296683e+00,1.645880366689730619e-03
6.818090452261305927e+02,1.563563205657820587e+00,1.577631947661123531e-03
6.839195979899496933e+02,1.563457473912403417e+00,1.507232001224863369e-03
6.860301507537687939e+02,1.563345126476148650e+00,1.435508402851570515e-03
6.881407035175878946e+02,1.563226270170974708e+00,1.363265067920958577e-03
6.902512562814069952e+02,1.563098358422802869e+00,1.291254027735108190e-03
6.923618090452260958e+02,1.562944029517068012e+00,1.220173531216865595e-03
6.944723618090451964e+02,1.562784093276637476e+00,1.150600376498535360e-03
6.965829145728642970e+02,1.562618988446056401e+00,1.083048695096253209e-03
