wavelength,n,k
5.530653266331657960e+02,1.573084025059369839e+00,4.181240346152539380e-04
5.551758793969848966e+02,1.572797683924959555e+00,4.156229700199685234e-04
5.572864321608039972e+02,1.572511241151424155e+00,4.128643002492320352e-04
5.593969849246230979e+02,1.572224685172280534e+00,4.098547949178301514e-04
5.615075376884421985e+02,1.571984732387510908e+00,4.065897500046856960e-04
5.636180904522612991e+02,1.571763335239275250e+00,4.030845184428964202e-04
5.657286432160803997e+02,1.571541792608833310e+00,3.993523676226799182e-04
5.678391959798995003e+02,1.571320095016009999e+00,3.954021719110018657e-04
5.699497487437186010e+02,1.571098233564873770e+00,3.912432297405419603e-04
5.720603015075377016e+02,1.570907099786214900e+00,3.868673407000737248e-04
5.741708542713568022e+02,1.570716539613988605e+00,3.823021542598097869e-04
5.762814070351759028e+02,1.570525792369580564e+00,3.775584424363575761e-04
5.783919597989950034e+02,1.570334851679382915e+00,3.726467944235536023e-04
5.805025125628139904e+02,1.570145721542347994e+00,3.675775427789484766e-04
5.826130653266332047e+02,1.569962818245002056e+00,3.623606607437882357e-04
5.847236180904521916e+02,1.569779706280924447e+00,3.570087665305975893e-04
5.868341708542714059e+02,1.569596381919217798e+00,3.515330405700770391e-04
5.889447236180903928e+02,1.569412842085389670e+00,3.459447039690300351e-04
5.910552763819094935e+02,1.569224864008170295e+00,3.402474481537389557e-04
5.931658291457285941e+02,1.569032445932778908e+00,3.344524073139207667e-04
5.952763819095476947e+02,1.568839807052774038e+00,3.285781957706817268e-04
5.973869346733667953e+02,1.568646946815997145e+00,3.226357979526914884e-04
5.994974874371858959e+02,1.568453865264126890e+00,3.166360471152161564e-04
6.016080402010049966e+02,1.568225192902985121e+00,3.106110376714152745e-04
6.037185929648240972e+02,1.567985247998077369e+00,3.045561436903098025e-04
6.058291457286431978e+02,1.567745085408903671e+00,2.984748047197104256e-04
6.079396984924622984e+02,1.567504707319022250e+00,2.923769320953757711e-04
6.100502512562813990e+02,1.567266427491147862e+00,2.862715185197233577e-04
6.121608040201004997e+02,1.567122692940035256e+00,2.801433948504838565e-04
6.142713567839196003e+02,1.566978751985142804e+00,2.740273491104866510e-04
6.163819095477387009e+02,1.566834608593516309e+00,2.679319712695202218e-04
6.184924623115578015e+02,1.566690267094906996e+00,2.618654742818512745e-04
6.206030150753769021e+02,1.566527042471666631e+00,2.558399239077367216e-04
6.227135678391960028e+02,1.566316905218893440e+00,2.498687869757790182e-04
6.248241206030149897e+02,1.566106584782240629e+00,2.439482940344630808e-04
6.269346733668342040e+02,1.565896086615909288e+00,2.380850466792383774e-04
6.290452261306531909e+02,1.565685416385926620e+00,2.322852266518256065e-04
6.311557788944724052e+02,1.565533512607856226e+00,2.265414892345510897e-04
6.332663316582913922e+02,1.565430132115421813e+00,2.208620503847407324e-04
6.353768844221104928e+02,1.565326597551934373e+00,2.152628133926490250e-04
6.374874371859295934e+02,1.565222915171756268e+00,2.097482600921095775e-04
6.395979899497486940e+02,1.565119091298666332e+00,2.043224590773077165e-04
6.417085427135677946e+02,1.564910932431238688e+00,1.989988286772580335e-04
6.438190954773868953e+02,1.564678127116985396e+00,1.937723991485779194e-04
6.459296482412059959e+02,1.564445199318356794e+00,1.886436918057258539e-04
6.480402010050250965e+02,1.564212155366327961e+00,1.836152297517587790e-04
6.501507537688441971e+02,1.563987894225983055e+00,1.786881614176243646e-04
6.522613065326632977e+02,1.563879134344237976e+00,1.738525839165238859e-04
6.543718592964823983e+02,1.563770277154121979e+00,1.691234294202191644e-04
6.564824120603014990e+02,1.563661328725922006e+00,1.645018159117476455e-04
6.585929648241205996e+02,1.563552295016666482e+00,1.599885517096452138e-04
6.607035175879397002e+02,1.563414343338020096e+00,1.555884793578143086e-04
6.628140703517588008e+02,1.563218640751341315e+00,1.513058486926879744e-04
6.649246231155777878e+02,1.563022869771373724e+00,1.471318328792685620e-04
6.670351758793970021e+02,1.562827035770954609e+00,1.430661767978544483e-04
6.691457286432159890e+02,1.562631143957178281e+00,1.391083951548142896e-04
6.712562814070352033e+02,1.562518097976340004e+00,1.352530490736612867e-04
6.733668341708541902e+02,1.562461375386531515e+00,1.315012875839531115e-04
6.754773869346734045e+02,1.562404609880669204e+00,1.278553637718556708e-04
6.775879396984923915e+02,1.562347805956351365e+00,1.243140030622254570e-04
6.796984924623116058e+02,1.562290967921201368e+00,1.208757795329539858e-04
6.818090452261305927e+02,1.562158134152687339e+00,1.175449833743170871e-04
6.839195979899496933e+02,1.562012613147900186e+00,1.143147135629868458e-04
6.860301507537687939e+02,1.561867069577068001e+00,1.111821911507183757e-04
6.881407035175878946e+02,1.561721506980796148e+00,1.081455439077923155e-04
6.902512562814069952e+02,1.561573165394406271e+00,1.052037800444989937e-04
6.923618090452260958e+02,1.561404362716756866e+00,1.023609920625937522e-04
6.944723618090451964e+02,1.561235550462358956e+00,9.960793133826572829e-05
6.965829145728642970e+02,1.561066731440651445e+00,9.694246785877546528e-05
