wavelength,n,k
1.035894935846242106e+03,1.557518486039085159e+00,3.494607313480711656e-05
1.053985186315131386e+03,1.557264977470738110e+00,3.349485587185024724e-05
1.072391354113764010e+03,1.557009771492388950e+00,3.233175741544580485e-05
1.091118956233703784e+03,1.556801826944838707e+00,3.137594305146729722e-05
1.110173606011961056e+03,1.556677097903899076e+00,3.058019466498556265e-05
1.129561014813511065e+03,1.556583588783513328e+00,2.992785780380227375e-05
1.149286993743194898e+03,1.556491311738857020e+00,2.940358957283921470e-05
1.169357455387518257e+03,1.556397992672087893e+00,2.899728871123620995e-05
1.189778415586866913e+03,1.556290169867893924e+00,2.870573871353621041e-05
1.210555995238669993e+03,1.556156924664548358e+00,2.861009158913723689e-05
1.231696422132052930e+03,1.556013343659150339e+00,2.872162429385028337e-05
1.253206032814531227e+03,1.555868094663538592e+00,2.895718865284315803e-05
1.275091274491301419e+03,1.555723051852438754e+00,2.927453217382233809e-05
1.297358706957702452e+03,1.555606667210377436e+00,2.966663491957649570e-05
1.320015004565419304e+03,1.555534370223912832e+00,3.017347330169248634e-05
1.343066958223028905e+03,1.555479320394379084e+00,3.099465519673664973e-05
1.366521477431480434e+03,1.555425307815940350e+00,3.201937748936086185e-05
1.390385592355121162e+03,1.555372343770733856e+00,3.313703081564650063e-05
1.414666455928888581e+03,1.555320161886959873e+00,3.444324861231323336e-05
1.439371346002304108e+03,1.555267945033847798e+00,3.597585140376538125e-05
1.464507667520907034e+03,1.555215480216869395e+00,3.762982649793500747e-05
1.490082954745782672e+03,1.555162742580241009e+00,3.941341792340613130e-05
1.516104873511852475e+03,1.555109692632102414e+00,4.148387223437956060e-05
1.542581223525599171e+03,1.555056279291768595e+00,4.378121186399465696e-05
1.569519940702922440e+03,1.555002485033742277e+00,4.620305946262219521e-05
1.596929099547817486e+03,1.554948273763180122e+00,4.901913276852693912e-05
1.624816915572594326e+03,1.554893639890748025e+00,5.230316619191581706e-05
1.653191747760362432e+03,1.554838560080478382e+00,5.579732337561950974e-05
1.682062101070521294e+03,1.554783004738069963e+00,5.937623397900551809e-05
1.711436628988001530e+03,1.554726928133302266e+00,6.309893754014615568e-05
1.741324136117025546e+03,1.554670316270801100e+00,6.735903723730701841e-05
1.771733580820165344e+03,1.554613135419047998e+00,7.227189718584444301e-05
1.802674077903487159e+03,1.554555380706634571e+00,7.747948630726661328e-05
1.834154901348586463e+03,1.554497028206960119e+00,8.279365154635170672e-05
1.866185487092333915e+03,1.554438052883073462e+00,8.831094147642165745e-05
1.898775435855165597e+03,1.554378413279158044e+00,9.472584378542027678e-05
1.931934516018766544e+03,1.554318095805611977e+00,1.026121765512032490e-04
1.965672666554005446e+03,1.554257068766914607e+00,1.112761904573552328e-04
2.000000000000000455e+03,1.554195325726337895e+00,1.201279712393435450e-04
2.034926805495212875e+03,1.554132842673302761e+00,1.291451037686403795e-04
2.070463551861476844e+03,1.554069595980094753e+00,1.383298065515423743e-04
2.106620890741874518e+03,1.554005547624658368e+00,1.476840007990088939e-04
2.143409659793422179e+03,1.553940682606881785e+00,1.581210125941324421e-04
2.180840885935505867e+03,1.553874970919016940e+00,1.712350114219938807e-04
2.218925788655044016e+03,1.553808403253905013e+00,1.864370483380499704e-04
2.257675783369378223e+03,1.553740955708775573e+00,2.022797218354785214e-04
2.297102484847876440e+03,1.553672604120124312e+00,2.177772069043083011e-04
2.337217710693302251e+03,1.553603313168203437e+00,2.321767373579958769e-04
2.378033484883978872e+03,1.553533065337805219e+00,2.459700556830431693e-04
2.419562041377802871e+03,1.553461832275655263e+00,2.598916647481778856e-04
2.461815827779205392e+03,1.553389600229519107e+00,2.745841707560642622e-04
2.504807509070146352e+03,1.553316346633908829e+00,2.906851304381312699e-04
2.548549971406267559e+03,1.553242043819479834e+00,3.076902977316033723e-04
2.593056325979336634e+03,1.553166660316067871e+00,3.267931609327278915e-04
2.638339912947144057e+03,1.553090173506867178e+00,3.537672792658915020e-04
2.684414305432024321e+03,1.553012557485873080e+00,3.883183360559686612e-04
2.731293313589221270e+03,1.552933793142493801e+00,4.251133972957126797e-04
2.778990988746275434e+03,1.552853858424245725e+00,4.625552130757256482e-04
2.827521627614721638e+03,1.552772723132087584e+00,5.006547747222596595e-04
2.876899776575326086e+03,1.552690724502695296e+00,5.388185909673196125e-04
2.927140236038159856e+03,1.552623111203031980e+00,5.759778848726645941e-04
2.978258064878819368e+03,1.552602614307674544e+00,6.127013430075631088e-04
3.030268584952106266e+03,1.552622039023298761e+00,6.500348420799071780e-04
3.083187385684544097e+03,1.552649553976729990e+00,6.880234283214776330e-04
3.137030328747094245e+03,1.552675926020819608e+00,7.266783121901118940e-04
3.191813552809462635e+03,1.552692713912531497e+00,7.662037839535277683e-04
3.247553478377443753e+03,1.552695110548938606e+00,8.110806682904019059e-04
3.304266812714740809e+03,1.552691221712758196e+00,8.661818677504799172e-04
3.361970554850728149e+03,1.552687417634752487e+00,9.278799223631117215e-04
3.420682000675681593e+03,1.552683700101998854e+00,9.912720341167370695e-04
3.480418748124970080e+03,1.552680062310893172e+00,1.057934672809294130e-03
3.541198702453796614e+03,1.552677402529959005e+00,1.134586364702071856e-03
3.603040081604050101e+03,1.552679673254582671e+00,1.221930113552860886e-03
3.665961421664871523e+03,1.552688113913098800e+00,1.313301780876263399e-03
3.729981582428594720e+03,1.552698773679407784e+00,1.406271127963480694e-03
3.795119753043701166e+03,1.552709752469485283e+00,1.500866026260758331e-03
